eval_id,condition,age,sex
1,listened,29,2
2,listened,27,2
3,listened,27,2
4,read,40,2
5,read,32,2
6,read,24,2
7,listened,29,2
8,read,23,2
9,listened,28,2
10,read,34,2
11,read,33,2
12,listened,28,2
13,listened,28,2
14,read,25,2
15,read,29,2
16,listened,28,2
17,listened,48,2
18,listened,31,1
19,read,27,2
20,read,24,2
21,read,32,2
22,read,31,1
23,read,NA,NA
24,listened,NA,NA
25,listened,24,2
26,listened,NA,NA
27,read,32,2
28,listened,NA,NA
29,listened,38,2
30,listened,27,2
31,read,27,2
32,read,28,1
33,listened,38,2
34,listened,25,2
35,read,NA,NA
36,listened,47,1
37,read,42,2
38,listened,31,2
39,listened,33,2
